no,talent,url,date,magazine,magazine_kana,year,month
2021年 4/7号,Travis Japan,https://www.magazine-data.com/page/20210331anan.html,2021年3月31日,an・an,アンアン,2021,3
2021年 3/31号,目黒 蓮,https://www.magazine-data.com/page/20210324anan.html,2021年3月24日,an・an,アンアン,2021,3
2021年 3/24号,ジャニーズ WEST,https://www.magazine-data.com/page/20210317anan.html,2021年3月17日,an・an,アンアン,2021,3
2021年 3/17号,NEWS,https://www.magazine-data.com/page/20210310anan.html,2021年3月10日,an・an,アンアン,2021,3
2021年 3/10号,菊池 風磨,https://www.magazine-data.com/page/20210303anan.html,2021年3月3日,an・an,アンアン,2021,3
2021年 3/3号,日向坂46,https://www.magazine-data.com/page/20210224anan.html,2021年2月24日,an・an,アンアン,2021,2
2021年 2/24号,岩田 剛典・新田 真剣佑,https://www.magazine-data.com/page/20210217anan.html,2021年2月17日,an・an,アンアン,2021,2
2021年 2/17号,松村 北斗,https://www.magazine-data.com/page/20210210anan.html,2021年2月10日,an・an,アンアン,2021,2
2021年 2/10号,玉森 裕太,https://www.magazine-data.com/page/20210203anan.html,2021年2月3日,an・an,アンアン,2021,2
2021年 2/3号,山下 美月,https://www.magazine-data.com/page/20210127anan.html,2021年1月27日,an・an,アンアン,2021,1
2021年 1/27号,Snow Man,https://www.magazine-data.com/page/20210120anan.html,2021年1月20日,an・an,アンアン,2021,1
2021年 1/20号,Hey! Say! JUMP,https://www.magazine-data.com/page/20210113anan.html,2021年1月13日,an・an,アンアン,2021,1
2021年 1/13号,SixTONES,https://www.magazine-data.com/page/20210106anan.html,2021年1月6日,an・an,アンアン,2021,1
2021年 1/6号,木村 拓哉,https://www.magazine-data.com/cover/anan.html,2020年12月25日,an・an,アンアン,2020,12
2020年 12/23号,嵐,https://www.magazine-data.com/cover/anan.html,2020年12月16日,an・an,アンアン,2020,12
2020年 12/16号,ジェシー,https://www.magazine-data.com/cover/anan.html,2020年12月9日,an・an,アンアン,2020,12
2020年 12/9号,Snow Man,https://www.magazine-data.com/cover/anan.html,2020年12月2日,an・an,アンアン,2020,12
2020年 12/2号,白石 麻衣,https://www.magazine-data.com/cover/anan.html,2020年11月25日,an・an,アンアン,2020,11
特別編集 2gether のすべて。,Bright & Win,https://www.magazine-data.com/cover/anan.html,2020年11月18日,an・an,アンアン,2020,11
2020年 11/25号,松本 まりか,https://www.magazine-data.com/cover/anan.html,2020年11月18日,an・an,アンアン,2020,11
2020年 11/18号,SixTONES,https://www.magazine-data.com/cover/anan.html,2020年11月11日,an・an,アンアン,2020,11
2020年 11/11号,乃木坂46,https://www.magazine-data.com/cover/anan.html,2020年11月4日,an・an,アンアン,2020,11
2020年 11/4号,横浜 流星,https://www.magazine-data.com/cover/anan.html,2020年10月28日,an・an,アンアン,2020,10
